system:index,date,dewpoint_C,dewpoint_max_C,dewpoint_min_C,.geo
20000101,2000-01-01,-3.4609808970963387,-0.4878287466323313,-6.4469263165470325,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000102,2000-01-02,-3.695012845396464,-0.6547945289987511,-6.7601097840842606,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000103,2000-01-03,-3.9476161070957967,-0.8844561443873423,-6.967000846412546,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000104,2000-01-04,-4.296952294271657,-1.2429453035660845,-7.302414905490843,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000105,2000-01-05,-4.168872055908496,-1.3062996909433786,-7.19751037928917,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000106,2000-01-06,-4.37511429700328,-1.4382489995342775,-7.568631012879673,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000107,2000-01-07,-3.686047492999493,-0.6897175978585011,-7.278395471981785,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000108,2000-01-08,-2.2555228314141673,0.47958894228621807,-5.377247021006479,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000109,2000-01-09,-1.877387788372664,0.8839294608474731,-4.968124911002526,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000110,2000-01-10,-2.007537099855372,0.8123197004454709,-5.025449768629429,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000111,2000-01-11,-0.905078810166116,1.5730051537279564,-3.9589976854908873,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000112,2000-01-12,-0.45054023642521124,2.2235670888415897,-3.628184586764047,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000113,2000-01-13,-1.2515246664297976,1.7437729538070035,-4.621267317404757,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000114,2000-01-14,-3.044277532587871,0.13409485884433633,-6.333094779493238,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000115,2000-01-15,-4.34741338950687,-1.3485855427321252,-7.680180403600421,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000116,2000-01-16,-5.2987403534980615,-2.288817279458914,-8.779751695492712,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000117,2000-01-17,-5.552474639982514,-2.173868949519938,-9.400702993995239,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000118,2000-01-18,-4.431999390180944,-1.357391152497023,-8.183123136956015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000119,2000-01-19,-3.371966545182973,-0.11982246716058656,-7.402841094759328,"{""type"":""MultiPoint"",""coordinates"":[]}"
