system:index,date,u_component_of_wind_10m,v_component_of_wind_10m,wind_speed_ms,.geo
20000101,2000-01-01,-0.23944222062643447,-0.27795038893681656,1.610698436047588,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000102,2000-01-02,-0.007962261251249507,-0.2615876822691193,1.6273580920319533,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000103,2000-01-03,0.24499524889297858,-0.29164629049398116,1.6022660277172533,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000104,2000-01-04,0.2527380514550166,-0.22169869149419,1.594905255235685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000105,2000-01-05,0.17190686091064036,-0.44832491995519547,1.5116564764070646,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000106,2000-01-06,0.2120895555168768,-0.2771736433660911,1.4943572951455528,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000107,2000-01-07,0.21319573713463885,0.016161720714341445,1.4979949174275524,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000108,2000-01-08,0.21549451078346002,0.14804084834141062,1.4315527937727746,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000109,2000-01-09,0.44279856915888255,0.3450699093309692,1.597050114867425,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000110,2000-01-10,0.20971720007021136,0.13661682548356796,1.5783383619170301,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000111,2000-01-11,0.10096668233734075,0.3017785480885047,1.7987445845287482,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000112,2000-01-12,0.47680740618076545,0.5312613130248562,1.8681860496199119,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000113,2000-01-13,0.7144548316001208,0.3571805716579533,1.7905856113145422,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000114,2000-01-14,0.6827155117269333,0.27441298697055505,1.7292705930801442,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000115,2000-01-15,0.5470434138126995,-0.045941482545283664,1.8561612774646623,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000116,2000-01-16,0.14675667726899325,-0.4622930036618122,2.065474683136121,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000117,2000-01-17,0.41736617721455743,-0.5349639953678192,2.1894598125553375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000118,2000-01-18,0.48260536680823773,-0.335497140936824,1.8806555707247987,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000119,2000-01-19,0.9371414947603113,-0.05610334347027527,1.7902144746086213,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000120,2000-01-20,0.9306705450966596,0.02093696428107104,1.6406238792044678,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000121,2000-01-21,0.22524582317197783,0.3349946347416624,1.5728424636409517,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000122,2000-01-22,0.29811023380021445,0.0072949737120831405,1.5848289833251101,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000123,2000-01-23,0.3332436850243244,-0.2996666195140088,1.3496764149318887,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000124,2000-01-24,-0.08723825395311682,-0.16783122816192544,1.3820899581968502,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000125,2000-01-25,-0.21401333879683238,-0.09885129123441921,1.601735336830791,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000126,2000-01-26,-0.17955330250133786,-0.07684536827804353,1.7414340083119835,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000127,2000-01-27,0.1884280576512434,-0.31103573469355345,1.7410476049995571,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000128,2000-01-28,0.3667326943133692,-0.5879344590402407,1.803954419132495,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000129,2000-01-29,0.7016075174008963,-0.5843476083101601,1.9361479769336867,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000130,2000-01-30,0.42306441461557076,-0.04984807526892517,1.5548640902343218,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000131,2000-01-31,0.17854172307664662,0.5487478997878291,2.0027760433965724,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000201,2000-02-01,0.1908473372011145,0.6675488231993139,1.8175824974431716,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000202,2000-02-02,0.04030201490623432,0.5058950408977264,1.8662458242103612,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000203,2000-02-03,0.27135614453316426,0.02470199724451519,1.6320540391110554,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000204,2000-02-04,0.4606381941716621,0.16812226441893913,1.6167983392342828,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000205,2000-02-05,0.27741727230622293,0.2651998847008799,1.5522763005920226,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000206,2000-02-06,0.030853428146598545,-0.11365201658231637,1.411099213286237,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000207,2000-02-07,0.23637852493915343,-0.1815683808322368,1.409202962092547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000208,2000-02-08,0.20678423834551146,0.08822449174619143,1.471732359702342,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000209,2000-02-09,0.4211893594009202,0.1165730465250462,1.5078325507729198,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000210,2000-02-10,0.43539636063821424,0.367353375294355,1.705013736559414,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000211,2000-02-11,0.5230025900887679,0.3630936900245377,1.9006812339103265,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000212,2000-02-12,0.2840997826151668,-0.17580542898332688,1.6915768968475242,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000213,2000-02-13,0.18089264206050532,-0.3968056515040181,1.8510356806406132,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000214,2000-02-14,0.11991269721110935,-0.4288020583030868,1.9047920728343684,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000215,2000-02-15,0.28514948629159964,0.08176341297900015,1.739327015506548,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000216,2000-02-16,0.6483950760484792,0.2624450728539588,1.7509250046433849,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000217,2000-02-17,0.6341452377809473,0.04763902148941927,1.6343080251506916,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000218,2000-02-18,0.32979560172221584,0.05607183908938193,1.588423955501021,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000219,2000-02-19,0.2583697632246084,0.16531324371041267,1.7096801400673773,"{""type"":""MultiPoint"",""coordinates"":[]}"
