system:index,date,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
20000101,2000-01-01,0.20028621309412922,0.2402559267767342,0.2764082240001961,0.328493311463788,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000102,2000-01-02,0.19991159246884727,0.23976027928461915,0.27595852779412994,0.3282985181231778,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000103,2000-01-03,0.19987495103422934,0.23970128509623517,0.27559267374630925,0.32810566123682955,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000104,2000-01-04,0.19917706165616528,0.23934358133430084,0.27527252730449525,0.3279206459951973,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000105,2000-01-05,0.19848010763948043,0.238805682043466,0.27489067913876764,0.3277380584463455,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000106,2000-01-06,0.19810020186956523,0.23835899888999207,0.2745154058791828,0.3275592307000038,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000107,2000-01-07,0.1981673547871188,0.23800200117490142,0.27416649514815233,0.32738694599421225,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000108,2000-01-08,0.1984050379726116,0.237697897674707,0.27382834657660093,0.3272185401986406,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000109,2000-01-09,0.19876330233502504,0.23745927413370158,0.27348522215314514,0.32704807391797835,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000110,2000-01-10,0.1996430158565249,0.23723794190222347,0.2731285695483294,0.32687621119151566,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000111,2000-01-11,0.2032389330697084,0.2372001059953829,0.2727532019750989,0.32669974255953327,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000112,2000-01-12,0.21171295268360563,0.23838439896159402,0.2724160642393251,0.3265230071450795,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000113,2000-01-13,0.2153919096835478,0.2400655750824109,0.27216525508109995,0.3263473065612405,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000114,2000-01-14,0.2148199235912405,0.24099249911181922,0.2719835993794754,0.326174705326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000115,2000-01-15,0.21336848371930578,0.2411017428493448,0.2717855274694339,0.3260091631055793,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000116,2000-01-16,0.21226897138307949,0.24088511195372728,0.27153451159455,0.3258473847952781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000117,2000-01-17,0.21082550965052954,0.2405555010938594,0.27123449340286987,0.3256807264957475,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000118,2000-01-18,0.20913078926110704,0.2400022498384004,0.2708689232980521,0.3255054883983554,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000119,2000-01-19,0.20776605224511865,0.23944211834085352,0.2704729991000609,0.32532531684372845,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000120,2000-01-20,0.20796958234964286,0.23924860148846408,0.2701074984563672,0.3251463834336372,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000121,2000-01-21,0.207726448604505,0.23911546648951856,0.2697917568326124,0.32497058810142143,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000122,2000-01-22,0.20820966428529875,0.23874460644638743,0.2694611723347169,0.324796893767709,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000123,2000-01-23,0.20940867358483423,0.23857553237340998,0.26914993898770245,0.32462577091247724,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000124,2000-01-24,0.20966104629950114,0.23837426828067002,0.2688351219783524,0.324454341941159,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000125,2000-01-25,0.21247221453429377,0.2382678643811015,0.2684994228570906,0.32427957063609714,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000126,2000-01-26,0.21269837943696285,0.23850640869871603,0.2681609950563246,0.3241018593876743,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000127,2000-01-27,0.21043905136658383,0.23829774612841306,0.267821668917426,0.3239234163647891,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000128,2000-01-28,0.20954925816405648,0.2380884914961455,0.26750682142499416,0.3237472838047477,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000129,2000-01-29,0.21169399214560974,0.23846351694179016,0.2672768778400747,0.3235785318879055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000130,2000-01-30,0.2115321779461202,0.23876407547873035,0.26705012426122526,0.32341203754989345,"{""type"":""MultiPoint"",""coordinates"":[]}"
